barcode,Xcoord,Ycoord,Zcoord
cell358,2204.0,1858.6041666666667,0
cell359,1774.8166666666666,2269.55,0
cell360,3384.1923076923076,636.8461538461538,0
cell361,3261.6614173228345,766.0629921259842,0
cell362,2586.060606060606,1379.878787878788,0
cell363,3868.0689655172414,143.13793103448276,0
cell364,2611.163636363636,1445.0,0
cell365,3686.4479166666665,400.4427083333333,0
cell366,3290.0112994350284,715.4915254237288,0
cell367,1977.888888888889,2104.152777777778,0
cell369,3104.6582914572864,936.6030150753769,0
cell371,3472.7,543.5,0
cell372,3327.40625,770.034375,0
cell373,1453.6153846153845,2588.2820512820513,0
cell374,3386.6027397260273,657.7739726027397,0
cell375,1560.076923076923,2537.4615384615386,0
cell376,1390.9333333333334,2645.5333333333333,0
cell377,2739.744394618834,1329.7578475336322,0
cell378,2418.294117647059,1660.3823529411766,0
cell379,3212.2216216216216,914.2972972972973,0
cell380,3268.0963855421687,859.0722891566265,0
cell382,1424.6693548387098,2668.5967741935483,0
cell383,2461.6666666666665,1617.75,0
cell384,3919.1678321678323,147.51048951048952,0
cell385,2930.200956937799,1206.842105263158,0
cell386,2622.0238095238096,1506.3809523809523,0
cell387,2587.975,1511.45,0
cell388,1744.6582278481012,2380.759493670886,0
cell390,3875.705882352941,191.1529411764706,0
cell391,3043.05,1093.1,0
cell392,1493.06,2649.54,0
cell393,3767.42,306.24,0
cell394,1492.6818181818182,2581.965909090909,0
cell395,3925.9811320754716,214.11320754716982,0
cell396,3817.4,265.98333333333335,0
cell397,3740.0222222222224,316.4277777777778,0
cell399,3117.5454545454545,1036.4805194805194,0
cell400,1653.6666666666667,2368.051282051282,0
cell401,1357.4375,2764.5,0
cell403,4016.8055555555557,70.0,0
cell404,2723.2,1313.60625,0
cell405,2706.6603773584907,1452.6509433962265,0
cell406,1365.01652892562,2693.0165289256197,0
cell407,2524.7619047619046,1588.0833333333333,0
cell408,2632.324324324324,1498.4594594594594,0
cell409,3585.205882352941,524.0294117647059,0
cell410,4133.45,42.65,0
cell411,1307.7567567567567,2817.445945945946,0
cell412,2859.886462882096,1202.9213973799126,0
cell413,3393.4929971988795,767.6638655462185,0
cell414,3469.3928571428573,679.3214285714286,0
cell415,3832.027777777778,338.0833333333333,0
cell416,1553.7474747474748,2608.1111111111113,0
cell417,3168.3057324840765,984.0891719745223,0
cell418,1426.8835616438357,2741.0479452054797,0
cell419,2936.9714285714285,1170.8285714285714,0
cell420,3090.705882352941,1135.5588235294117,0
cell421,1671.4027777777778,2436.340277777778,0
cell422,3452.4729241877258,757.0324909747293,0
cell423,3625.0827067669175,530.2781954887218,0
cell424,2423.1,1756.4,0
cell425,1980.421875,2273.828125,0
cell426,3784.75,381.3392857142857,0
cell427,3864.1951219512193,267.2926829268293,0
cell428,3896.4594594594596,315.64864864864865,0
cell429,2588.3146067415732,1610.808988764045,0
cell430,1343.0666666666666,2877.8333333333335,0
cell431,4110.875,108.8125,0
cell432,2663.086956521739,1540.4130434782608,0
cell433,3814.6666666666665,323.0,0
cell434,2820.948275862069,1388.698275862069,0
cell435,2754.0657276995307,1405.0,0
cell436,1708.0425531914893,2520.1170212765956,0
cell437,3995.5286624203823,225.7388535031847,0
cell438,1631.1315789473683,2602.25,0
cell439,3033.8625235404897,1187.1826741996233,0
cell440,2515.7073170731705,1659.5853658536585,0
cell441,2004.3139534883721,2197.5348837209303,0
cell442,3680.4137931034484,489.7586206896552,0
cell443,3612.09649122807,635.7105263157895,0
cell444,1872.7179487179487,2323.051282051282,0
cell445,1590.0135135135135,2630.472972972973,0
cell446,1537.5483870967741,2692.935483870968,0
cell447,1769.8823529411766,2454.985294117647,0
cell448,3748.6082474226805,460.8144329896907,0
cell449,1338.6617647058824,2870.1617647058824,0
cell450,4041.060606060606,186.57575757575756,0
cell451,3387.230769230769,834.6538461538462,0
cell452,1420.0434782608695,2857.159420289855,0
cell453,3501.4285714285716,656.6785714285714,0
cell454,4033.0344827586205,123.0,0
cell455,1422.5714285714287,2808.295918367347,0
cell456,2632.4830508474574,1639.2118644067796,0
cell457,2490.544502617801,1760.9109947643979,0
cell458,2783.8970588235293,1457.3823529411766,0
cell459,3927.561224489796,224.14285714285714,0
cell460,2608.7727272727275,1566.3181818181818,0
cell461,2231.6875,2059.5833333333335,0
cell462,3143.7884615384614,1103.7403846153845,0
cell463,2935.8367346938776,1315.1496598639455,0
cell464,2944.7565789473683,1242.1118421052631,0
cell466,1482.530303030303,2757.4848484848485,0
cell467,3873.733333333333,432.28,0
cell468,3459.175675675676,859.3378378378378,0
cell469,3340.6875,963.375,0
cell470,2780.5405405405404,1513.4864864864865,0
cell471,2061.9473684210525,2254.2280701754385,0
cell472,3241.0,1088.936170212766,0
cell473,2708.6555555555556,1587.2333333333333,0
cell474,2843.4117647058824,1306.1764705882354,0
cell475,1456.2962962962963,2785.4074074074074,0
cell476,2382.233333333333,1891.4,0
cell477,1597.909090909091,2715.5757575757575,0
cell478,1660.24,2642.72,0
cell479,3128.8469387755104,1079.6734693877552,0
cell480,3902.8150684931506,334.36301369863014,0
cell481,3400.4551282051284,853.6538461538462,0
cell482,1824.3225806451612,2388.3709677419356,0
cell483,3320.2573529411766,988.2720588235294,0
cell484,3844.7,382.7857142857143,0
cell485,3224.1758241758243,1035.1923076923076,0
cell486,2624.403846153846,1712.0961538461538,0
cell487,3400.8571428571427,904.9142857142857,0
cell488,4170.75,120.1,0
cell489,3331.162162162162,955.0972972972972,0
cell490,2160.7702702702704,2108.587837837838,0
cell491,3723.986522911051,560.0458221024259,0
cell492,2951.0352112676055,1329.4859154929577,0
cell493,1507.1407407407407,2861.296296296296,0
cell494,3362.076923076923,946.1538461538462,0
cell495,1660.1777777777777,2677.1555555555556,0
cell496,3516.846153846154,760.4615384615385,0
cell497,3142.8781725888325,1173.4213197969543,0
cell498,3132.0142857142855,1208.2428571428572,0
cell499,3017.4615384615386,1295.7058823529412,0
cell500,1940.7894736842106,2416.3609022556393,0
cell501,2398.434210526316,1858.7368421052631,0
cell502,4108.942028985507,171.69565217391303,0
cell503,2562.6173913043476,1702.4260869565217,0
cell504,3979.6,298.6,0
cell505,2687.9,1692.25,0
cell506,4087.009009009009,257.5405405405405,0
cell507,1783.828282828283,2543.8888888888887,0
cell508,1870.5460992907801,2474.54609929078,0
cell509,3714.3714285714286,629.9285714285714,0
cell510,3682.3030303030305,608.7979797979798,0
cell511,3479.4437086092717,871.7019867549669,0
cell512,3385.896174863388,935.655737704918,0
cell513,3163.4193548387098,1157.5806451612902,0
cell515,3905.4166666666665,408.92857142857144,0
cell516,3214.3030303030305,1138.5757575757575,0
cell517,4264.964285714285,27.607142857142858,0
cell518,2601.0,1734.764705882353,0
cell519,2226.2380952380954,2116.440476190476,0
cell520,1557.328947368421,2800.9736842105262,0
cell521,3671.5670995670994,706.8571428571429,0
cell522,3799.5833333333335,504.0,0
cell524,1376.125,2972.125,0
cell525,2472.609756097561,1844.5243902439024,0
cell526,3884.235294117647,471.0,0
cell527,2948.54375,1418.5,0
cell528,1486.0588235294117,2941.764705882353,0
cell529,1984.4473684210527,2365.0175438596493,0
cell530,3786.190476190476,538.8095238095239,0
cell531,3569.4848484848485,809.2666666666667,0
cell532,3968.8615384615387,391.2153846153846,0
cell533,1402.142857142857,2927.1746031746034,0
cell534,3449.3186813186812,952.9047619047619,0
cell535,4149.482758620689,150.75862068965517,0
cell536,4048.7384615384617,335.0923076923077,0
cell537,3475.1827956989246,815.9301075268817,0
cell538,3106.2239583333335,1297.0520833333333,0
cell539,3297.546511627907,1069.9273255813953,0
cell540,4053.0833333333335,243.08333333333334,0
cell541,3838.5151515151515,568.8181818181819,0
cell542,2871.2611683848795,1436.3573883161512,0
cell543,3989.705882352941,359.5882352941176,0
cell544,3337.0,1012.5925925925926,0
cell545,1636.3852459016393,2781.7131147540986,0
cell546,2841.1979166666665,1543.1041666666667,0
cell547,2681.487804878049,1674.1463414634147,0
cell548,4244.443037974684,156.44303797468353,0
cell549,1585.264705882353,2865.3382352941176,0
cell550,2753.483870967742,1657.483870967742,0
cell551,2787.9375,1640.546875,0
cell552,4001.2,478.1333333333333,0
cell553,3404.776978417266,987.8992805755396,0
cell554,3779.076923076923,577.5384615384615,0
cell555,3213.426470588235,1210.4338235294117,0
cell556,1432.75,2961.8333333333335,0
cell557,4066.9322033898306,372.04237288135596,0
cell558,3400.5789473684213,1008.7894736842105,0
cell559,3205.119496855346,1271.7169811320755,0
cell560,2219.195652173913,2288.586956521739,0
cell561,3857.850393700787,624.2283464566929,0
cell562,2659.718309859155,1723.5070422535211,0
cell563,3241.6923076923076,1154.2884615384614,0
cell564,1444.588785046729,3006.8598130841124,0
cell565,2226.1290322580644,2214.7096774193546,0
cell567,3127.3277027027025,1257.3513513513512,0
cell568,1895.4247311827958,2551.94623655914,0
cell569,2156.090909090909,2225.060606060606,0
cell570,1959.648,2500.992,0
cell571,4140.04255319149,301.1489361702128,0
